Date,has_en,has_de,title_en,title_de,images,words_en,words_de,other_files
2025-10-18,True,False,12 years down - 4 more years to go, ,0,0,0,0
2025-10-17,True,True,Rückblick auf die letzen 12 Jahre durch 1508 Überweisungen auf meinem Bankkonto,Rückblick auf die letzen 12 Jahre durch 1508 Überweisungen auf meinem Bankkonto,0,0,0,0
2015-11-21,False,True, ,Lightpainting,0,0,0,0
2015-11-15,False,True, ,Kinematik – Physik 10,0,0,0,0
2015-11-25,False,True, ,Fortschritte Baumhausprojekt,0,0,0,0
2015-12-15,False,True, ,Sternbilder im Winter,0,0,0,0
2000-02-29,True,True,"Visit to the Botanic Garden in Nairobi on February 29th, 2000 - no leap day!",Besuch im Botanischen Garten von Nairobi am 29. Februar 2000 - kein Schalttag!,0,0,0,0
2019-03-05,False,True, ,Sciencefair 2019,0,0,0,0
2019-03-26,False,True, ,AI und ML,0,0,0,0
2016-04-23,False,True, ,Lagerfeuer und Lightpainting,0,0,0,0
